"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25089_001E","Estimate!!Aggregate selected monthly owner costs (dollars):"
"B25089_001EA","Annotation of Estimate!!Aggregate selected monthly owner costs (dollars):"
"B25089_001M","Margin of Error!!Aggregate selected monthly owner costs (dollars):"
"B25089_001MA","Annotation of Margin of Error!!Aggregate selected monthly owner costs (dollars):"
"B25089_002E","Estimate!!Aggregate selected monthly owner costs (dollars):!!Housing units with a mortgage (dollars)"
"B25089_002EA","Annotation of Estimate!!Aggregate selected monthly owner costs (dollars):!!Housing units with a mortgage (dollars)"
"B25089_002M","Margin of Error!!Aggregate selected monthly owner costs (dollars):!!Housing units with a mortgage (dollars)"
"B25089_002MA","Annotation of Margin of Error!!Aggregate selected monthly owner costs (dollars):!!Housing units with a mortgage (dollars)"
"B25089_003E","Estimate!!Aggregate selected monthly owner costs (dollars):!!Housing units without a mortgage (dollars)"
"B25089_003M","Margin of Error!!Aggregate selected monthly owner costs (dollars):!!Housing units without a mortgage (dollars)"
"B25089_003MA","Annotation of Margin of Error!!Aggregate selected monthly owner costs (dollars):!!Housing units without a mortgage (dollars)"
"B25089_003EA","Annotation of Estimate!!Aggregate selected monthly owner costs (dollars):!!Housing units without a mortgage (dollars)"
